name,popularity,duration_ms,artist,artists_list,release_date,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_name,artist_popularity,artist_followers,artist_genres,music_file
Sugar,83,235493,Maroon 5,Maroon 5,2014-09-02,0.0591,0.748,0.788,0.0,1,0.0863,-7.055,1,0.0334,120.076,4,0.884,Maroon 5,82,41534296,['pop'],Sugar - Maroon 5 (128).wav
Superman,87,350320,Eminem,"Eminem, Dina Rae",2002-05-26,0.0215,0.802,0.755,0.0,4,0.295,-3.138,0,0.0564,130.027,4,0.58,Eminem,87,77926307,"['detroit hip hop', 'hip hop', 'rap']",Sugar - Maroon 5 (128).wav
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,77,214912,Lana Del Rey,"Lana Del Rey,Cedric Gervais",2013-02-01,0.0157,0.572,0.81,6.53e-06,1,0.13,-5.791,0,0.0558,126.052,4,0.11,Lana Del Rey,88,29276034,"['art pop', 'pop']",Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Lana.wav
Summertime Sadness,79,264773,Lana Del Rey,Lana Del Rey,2012-01-01,0.0477,0.566,0.647,0.0,1,0.121,-6.815,0,0.0335,111.96,4,0.22,Lana Del Rey,88,29276034,"['art pop', 'pop']",Summertime Sadness - Lana Del Rey (128).wav
Sun Goes Down (feat. Jasmine Thompson) - Radio Mix,73,179960,Robin Schulz,"Robin Schulz, Jasmine Thompson",2014-09-16,0.0969,0.548,0.723,1.28e-05,6,0.337,-6.002,1,0.0375,125.088,4,0.499,Robin Schulz,75,3096894,"['deep euro house', 'deep house', 'edm', 'german dance', 'pop dance', 'tropical house']",Sun Goes Down (feat. Jasmine Thompson) (Radio Mix) - Robin S.wav
