name,popularity,track_number,type,duration_ms,artists_list,release_date,artist_name,artist_popularity,artist_followers,artist_genres,artist_main_artist
WHERE SHE GOES,90,1,track,231704,Bad Bunny,2023-05-18,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",True
Tití Me Preguntó,87,4,track,243716,Bad Bunny,2022-05-06,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",True
DÁKITI,81,1,track,205090,"Bad Bunny,Jhayco",2020-10-30,Bad Bunny,96,76065976,"['reggaeton', 'trap latino', 'urbano latino']",True
BOTH,79,1,track,188000,"Tiësto,21 Savage,BIA",2023-08-29,Tiësto,80,7136303,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'slap house', 'trance']",True
Spin Bout U,84,6,track,214588,"Drake,21 Savage",2022-11-04,Drake,95,81345795,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",True
a lot,83,1,track,288624,21 Savage,2018-12-21,21 Savage,87,15351817,"['atl hip hop', 'hip hop', 'rap']",True
Knife Talk (with 21 Savage ft. Project Pat),83,13,track,242965,"Drake,21 Savage,Project Pat",2021-09-03,Drake,95,81345795,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",True
TIL FURTHER NOTICE (feat. James Blake & 21 Savage),81,19,track,314836,"Travis Scott,James Blake,21 Savage",2023-07-28,Travis Scott,90,24895140,"['hip hop', 'rap', 'slap house']",True
Mr. Right Now (feat. Drake),75,4,track,193838,"21 Savage,Metro Boomin,Drake",2020-10-02,21 Savage,87,15351817,"['atl hip hop', 'hip hop', 'rap']",True
Hymn for the Weekend,85,3,track,258266,Coldplay,2015-12-04,Coldplay,85,47803752,"['permanent wave', 'pop']",True
Violet Hill,69,8,track,222653,Coldplay,2008-05-26,Coldplay,85,47803752,"['permanent wave', 'pop']",True
Princess of China,72,10,track,239215,"Coldplay,Rihanna",2011-10-24,Coldplay,85,47803752,"['permanent wave', 'pop']",True
Higher Power,73,1,track,211294,Coldplay,2021-05-07,Coldplay,85,47803752,"['permanent wave', 'pop']",True
Blame (feat. John Newman),80,3,track,212960,"Calvin Harris,John Newman",2014-10-31,Calvin Harris,82,23408452,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",True
Sweet Nothing (feat. Florence Welch),76,10,track,212560,"Calvin Harris,Florence Welch",2012-10-29,Calvin Harris,82,23408452,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",True
Slide (feat. Frank Ocean & Migos),73,1,track,230813,"Calvin Harris,Frank Ocean,Migos",2017-02-24,Calvin Harris,82,23408452,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",True
Potion (with Dua Lipa & Young Thug),70,1,track,214459,"Calvin Harris,Dua Lipa,Young Thug",2022-05-27,Calvin Harris,82,23408452,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",True
Treasure,84,4,track,178560,Bruno Mars,2012-12-07,Bruno Mars,86,51858271,"['dance pop', 'pop']",True
The Lazy Song,81,5,track,189109,Bruno Mars,2010-10-05,Bruno Mars,86,51858271,"['dance pop', 'pop']",True
Marry You,81,6,track,230192,Bruno Mars,2010-10-05,Bruno Mars,86,51858271,"['dance pop', 'pop']",True
Grenade,82,1,track,222091,Bruno Mars,2010-10-05,Bruno Mars,86,51858271,"['dance pop', 'pop']",True
Bad Liar,83,5,track,260773,Imagine Dragons,2018-11-09,Imagine Dragons,84,50820618,"['modern rock', 'pop', 'rock']",True
On Top Of The World,80,5,track,192280,Imagine Dragons,2012-09-04,Imagine Dragons,84,50820618,"['modern rock', 'pop', 'rock']",True
Warriors,76,18,track,171040,Imagine Dragons,2015-05-18,Imagine Dragons,84,50820618,"['modern rock', 'pop', 'rock']",True
Next To Me,73,1,track,230288,Imagine Dragons,2017-06-23,Imagine Dragons,84,50820618,"['modern rock', 'pop', 'rock']",True
The Edge Of Glory,71,17,track,320546,Lady Gaga,2011-05-23,Lady Gaga,82,28321662,"['art pop', 'dance pop', 'pop']",True
Stupid Love,33,1,track,193530,Lady Gaga,2020-02-28,Lady Gaga,82,28321662,"['art pop', 'dance pop', 'pop']",True
Telephone,74,6,track,220626,"Lady Gaga,Beyoncé",2009-08-05,Lady Gaga,82,28321662,"['art pop', 'dance pop', 'pop']",True
